,region,region_coord
119,Rapel Valley,"(-33.9434247, -71.7380794)"
120,Barossa,"(-34.61341495, 138.93854551693641)"
121,Tokaji,"(48.1658637, 21.381382426012586)"
122,Rheingau,"(50.133906499999995, 8.069959837878164)"
123,Bianco di Custoza,"(None, None)"
124,Soave,"(45.4202303, 11.247722)"
125,Collio,"(45.8093124, 10.3328723)"
126,Naoussa,"(40.6308695, 22.0704126)"
127,Trentino,"(46.102817, 11.129543099871789)"
128,Valdadige,"(45.6582406, 10.9025042)"
129,Rutherford,"(40.826489, -74.1068091)"
130,Central Valley,"(38.0, -121.4)"
131,Lontué Valley,"(-35.0549065, -71.2745634)"
132,California,"(36.7014631, -118.755997)"
133,Prosecco di Conegliano e Valdobbiadene,"(None, None)"
134,Prosecco del Veneto,"(45.9023795, 12.0923802)"
135,Burgenland,"(47.5000001, 16.4166666)"
136,Graves,"(42.3653408, -70.8691820297457)"
137,Rioja,"(42.2814642, -2.482804975070473)"
138,North Fork of Long Island,"(80.1258392, 22.2863999)"
139,Bierzo,"(42.65265025, -6.62318404217132)"
140,Franciacorta,"(45.612444350000004, 10.05328133186044)"
141,Meursault,"(46.9783803, 4.7694038)"
142,Niagara-On-The-Lake,"(43.2556116, -79.0723264)"
143,Carneros,"(42.4756515, -6.0474429)"
144,Ribbon Ridge,"(-28.7447233, 32.0826852)"
145,Champagne,"(45.831944, -0.906667)"
146,Rheinhessen,"(49.9045181, 8.2711082)"
147,Amarone della Valpolicella,"(None, None)"
148,Mosel,"(49.0207259, 6.538035170357949)"
149,Chambolle-Musigny,"(47.1864158, 4.9533347)"
150,Alentejano,"(38.8420973, -7.5871415)"
151,Pomerol,"(44.9311234, -0.1999904)"
152,Cannonau di Sardegna,"(None, None)"
153,Red Mountain,"(37.112242, -105.1811176)"
154,Isola dei Nuraghi,"(40.7092763, 9.698963)"
155,Sta. Rita Hills,"(7.1175968, 125.6425559)"
156,Western Cape,"(-33.546977, 20.72753)"
157,Côtes du Rhône Villages,"(45.4559451, 5.5192803)"
158,Friuli Grave,"(45.9924803, 12.8872335)"
159,Walla Walla Valley (WA),"(46.0667277, -118.3393456)"
160,El Dorado,"(33.20763, -92.6662674)"
161,Rueda,"(41.4129785, -4.9597533)"
162,Suisun Valley,"(38.2382474, -122.040244)"
163,Côtes de Provence,"(43.44073375, 6.652070709315146)"
164,Lodi,"(45.2613104, 9.491678060021837)"
165,Côtes du Rhône,"(46.1907924, 5.2067555)"
166,Venezia Giulia,"(44.4783698, 11.3818595)"
167,Wahluke Slope,"(46.7206936, -119.3980773)"
168,Yakima Valley,"(46.601557, -120.5108421)"
169,Oregon,"(43.9792797, -120.737257)"
170,Alto Adige Valle Isarco,"(46.75233455, 11.658249815138083)"
171,Ballard Canyon,"(33.7293637, -117.7793546)"
172,Howell Mountain,"(38.5812999, -122.4510974)"
173,Gavi,"(44.687649, 8.809353)"
174,Valle de Guadalupe,"(21.042653299999998, -102.67986462733046)"
175,Oak Knoll District,"(-29.5824099, 30.2809399)"
176,Rogue Valley,"(53.0680556, 21.0872222)"
177,Chehalem Mountains,"(45.3676909, -123.00640669254446)"
178,Northern Sonoma,"(38.5177297, -122.9738437)"
179,Vinho Verde,"(41.1697203, -8.6576627)"
180,Soave Classico,"(None, None)"
181,Conegliano Valdobbiadene Prosecco Superiore,"(None, None)"
182,Edna Valley,"(28.9772626, -96.6462526)"
183,Idaho,"(43.6447642, -114.015407)"
184,Gambellara Classico,"(None, None)"
185,Mount Veeder,"(38.3793566, -122.4477575)"
186,Valencia,"(39.4697065, -0.3763353)"
187,Cortona,"(43.2752976, 11.9850623)"
188,Piemonte,"(45.060735, 7.923549)"
189,Colli della Toscana Centrale,"(None, None)"
190,Horse Heaven Hills,"(None, None)"
191,Santa Cruz Mountains,"(37.2117409, -122.0582599)"
192,Livermore Valley,"(37.6820583, -121.7680531)"
193,Central Otago,"(-45.1299859, 169.5248818)"
194,Valle de Uco,"(20.6547872, -103.2059056)"
195,Barbaresco,"(44.7254469, 8.0806959)"
196,Temecula Valley,"(33.4946353, -117.1473661)"
