,region,region_coord
539,Temecula,"(33.4946353, -117.1473661)"
540,Vino Spumante,"(48.2339464, 16.3275271)"
541,Lebanon,"(33.8750629, 35.843409)"
542,Ghemme,"(45.5983455, 8.4209035)"
543,Carignano del Sulcis,"(None, None)"
544,Setubal,"(38.524321, -8.8926172)"
545,Anjou,"(45.3462, 4.88149)"
546,Pécharmant,"(48.8916709, 2.2540698)"
547,Minervois La Liviniere,"(43.3562448, 2.599735775433233)"
548,Corbières,"(43.0547547, 1.9970557)"
549,Elqui Valley,"(-23.6193733, -70.388831)"
550,Mosel-Saar-Ruwer,"(None, None)"
551,Grand Valley,"(43.8991217, -80.3152465)"
552,Pocerina,"(None, None)"
553,Clarendon,"(34.9359346, -100.8905829)"
554,Kumeu,"(-36.7746685, 174.5548889)"
555,Côtes du Jura,"(48.5137009, -2.7910637)"
556,Trás-os-Montes,"(41.59298595, -6.7288269232895885)"
557,Shomron,"(32.1800865, 34.9080973)"
558,Corton Les Renardes,"(47.0762322, 4.870665654316997)"
559,Chassagne-Montrachet,"(46.93636, 4.72736)"
560,Aloxe-Corton,"(47.0653471, 4.8596328)"
561,Rapsani,"(39.9020296, 22.54849)"
562,Rosso Conero,"(43.5642415, 13.526178308491673)"
563,Falerio,"(40.6620959, 14.6982564)"
564,Rosso Piceno,"(42.859876799999995, 13.57036)"
565,Vienna,"(48.2083537, 16.3725042)"
566,Hunter Valley,"(35.73754725, -78.86011587258497)"
567,La Rioja,"(42.2814642, -2.482804975070473)"
568,Central Ranges,"(-41.1499965, 147.06718575291913)"
569,La Consulta,"(13.055068, -86.8304328)"
570,Coteaux Varois,"(None, None)"
571,Nelson,"(-41.2710849, 173.2836756)"
572,Constantia,"(44.1767161, 28.6507598)"
573,Val di Cornia Suvereto,"(43.0718888, 10.6741178)"
574,Martinborough,"(-41.2183252, 175.4594856)"
575,Vin de Pays du Val de Loire,"(None, None)"
576,Cochise County,"(31.8514532, -109.8181858)"
577,Vino de la Tierra Altiplano de Sierra Nevada,"(None, None)"
578,Península de Setúbal,"(38.6272781, -8.929688654264213)"
579,Tokaj,"(48.1235534, 21.4113895)"
580,Patagonia,"(-44.99006975, -70.81731046588706)"
581,Potter Valley,"(39.315214600000004, -123.11246387038575)"
582,Friuli,"(-31.4364492, -64.1957042)"
583,Pine Mountain-Cloverdale Peak,"(38.8832359, -122.9938883)"
584,Agrelo,"(41.3856557, -8.1830227)"
585,Verdicchio dei Castelli di Jesi Classico Superiore,"(None, None)"
586,Custoza Superiore,"(38.2214929, 15.6344578)"
587,Veronese,"(43.135584550000004, 5.898501077071241)"
588,Nahe,"(53.7942267, 10.13793)"
589,Eden Valley,"(45.3260745, -94.5461074)"
590,Val di Neto,"(39.184734649999996, 17.10703449565607)"
591,San Antonio Valley,"(29.4246002, -98.4951405)"
592,Bourgogne,"(47.27808725, 4.222486304306048)"
593,Sierra Pelona Valley,"(34.4907992, -118.3196538)"
594,Famatina Valley,"(-28.9250648, -67.519583)"
595,Bâtard-Montrachet,"(46.9451362, 4.7404005)"
596,Chevalier-Montrachet,"(46.9466831, 4.7373286)"
597,Atlas Peak,"(38.4507431, -122.2627529)"
598,Puisseguin Saint-Émilion,"(None, None)"
599,Peloponnese,"(37.36332825, 22.239537343995494)"
600,Asprinio di Aversa,"(None, None)"
601,Orvieto Classico,"(None, None)"
602,Orcia,"(43.0201424, 11.6088904)"
603,Chianti Rufina,"(None, None)"
604,Chiles Valley,"(0.7529421, -77.9743561)"
605,Pyrenees,"(42.6982487, 0.4969969)"
606,High Valley,"(31.0826699, -98.5361482)"
607,Mt. Harlan,"(36.6974604, -121.405214)"
608,Argentina,"(-34.9964963, -64.9672817)"
609,Vin de Pays d'Oc,"(None, None)"
610,Rattlesnake Hills,"(45.0644539, -84.2652871)"
611,Morey-Saint-Denis,"(47.1955052, 4.9623167)"
612,Volnay,"(47.0016955, 4.7811102)"
613,Missouri,"(38.7604815, -92.5617875)"
614,Southeastern New England,"(51.38654325, 0.5491032953589476)"
615,Almansa,"(38.8682065, -1.0978627)"
616,Grand River Valley,"(49.6833655, 5.5132357)"
617,Corton-Charlemagne,"(47.07374645, 4.852580675505619)"
618,Chianti Colli Senesi,"(None, None)"
619,Emilia,"(-38.9462083, -67.9191159)"
620,San Vicente,"(13.527493549999999, -88.73969856525022)"
621,King Valley,"(-36.694793, 146.4082840631994)"
622,Waipara Valley,"(-43.058482, 172.7602403)"
623,Tavel,"(44.0127055, 4.6982216)"
624,Pommard,"(47.0087919, 4.7962295)"
625,Nashik,"(20.0112475, 73.7902364)"
626,Fort Ross-Seaview,"(38.5571348, -123.2644524)"
627,Muscadet Côtes de Grandlieu,"(None, None)"
628,Costa Toscana,"(44.2091823, 10.2612037)"
629,Albana di Romagna,"(44.0064561, 12.6202748)"
630,Grands-Echezeaux,"(47.1713647, 4.9538051)"
631,Moscadello di Montalcino,"(None, None)"
632,Mazis-Chambertin,"(47.2201931, 4.966842121372782)"
633,"The Hamptons, Long Island","(53.4880855, -113.675631)"
634,Franschhoek,"(-33.909167, 19.119444)"
635,Vin de Pays du Comté Tolosan,"(None, None)"
636,Somontano,"(42.0883878, 0.09940412890672314)"
637,Castillon Côtes de Bordeaux,"(None, None)"
638,Tierra del Viños de Zamora,"(None, None)"
639,Lake Michigan Shore,"(42.764927, -83.497657)"
640,Beira Atlantico,"(-30.0424702, -50.149098)"
641,Central Victoria,"(-37.8326622, 144.9567877)"
642,Bordeaux Côtes de Francs ,"(None, None)"
643,Atlantida,"(15.8172492, -87.11469350954292)"
644,Vipavska Dolina,"(45.942126, 13.640288)"
645,Var,"(43.4173592, 6.2664620128919)"
646,Maipú,"(-33.5094409, -70.756182)"
647,Okanagan Valley,"(49.4658159, -120.2505542)"
648,Coteaux du Languedoc Pic Saint Loup,"(None, None)"
649,Primitivo del Salento,"(None, None)"
650,Bekaa Valley,"(47.3959995, 0.6908126)"
651,Tarragona,"(41.1172364, 1.2546057)"
652,Crémant d'Alsace,"(None, None)"
653,Valpolicella Classico,"(None, None)"
654,Elgin,"(42.03726, -88.2810994)"
655,Ribeira Sacra,"(42.5195881, -7.5141181)"
656,Hautes Côtes de Nuits,"(None, None)"
657,Itata Valley,"(37.049038, -76.785515)"
658,Vigneti delle Dolomiti,"(None, None)"
659,Samson,"(47.0538, 5.87948)"
660,Santa Barbara-Monterey,"(34.421814, -119.7269)"
661,Gigondas,"(44.1641127, 5.0051053)"
662,Conca de Barberà,"(41.44389565, 1.1885113323042593)"
663,Beamsville Bench,"(43.1661206, -79.4957293)"
664,Lessini Durello,"(None, None)"
665,Bourgueil,"(47.2827691, 0.1788873)"
666,Saint-Croix-du-Mont,"(45.9446111, 1.4299017)"
667,Cyprus,"(34.9823018, 33.1451285)"
668,Pageon,"(51.4004663, 6.6581384)"
669,South Island,"(-43.586562, 171.21232939964904)"
670,Côte de Brouilly,"(46.0893824, 4.6470174)"
671,Mâcon-Pierreclos,"(46.3337151, 4.6875165)"
672,Vinho Espumante de Qualidade,"(None, None)"
673,Salina,"(38.8402805, -97.6114237)"
674,Wellington,"(-41.2887953, 174.7772114)"
675,Beira Interior,"(40.2781456, -7.508382296937802)"
676,Southern Flinders Ranges,"(None, None)"
677,Napa-Carneros,"(38.2585001, -122.3075736)"
678,Catalonia,"(41.8523094, 1.5745043)"
679,Côtes de Gascogne,"(48.492215, -2.7821858)"
680,Thracian Valley,"(40.25, 24.4167)"
681,Lago di Corbara,"(42.7274798, 12.25454579650534)"
682,Gisborne,"(-38.661326, 178.0206487)"
683,Obidos,"(39.3619514, -9.157153)"
684,Moldova,"(47.2879608, 28.5670941)"
685,Santa Cruz,"(28.469648, -16.2540884)"
686,Verdicchio dei Castelli di Jesi,"(None, None)"
687,Offida Pecorino,"(None, None)"
688,Korčula,"(42.9437813, 16.91347631417291)"
689,Crete,"(35.3084749, 24.463320724202934)"
690,Verdicchio dei Castelli di Jesi Classico,"(None, None)"
691,Crozes-Hermitage,"(45.0907, 4.84592)"
692,Sant'Antimo,"(40.945711, 14.231429)"
693,Wairau Valley,"(-41.5635411, 173.5314071)"
694,Côtes du Roussillon Villages Tautavel,"(None, None)"
695,Côtes du Roussillon Villages,"(None, None)"
696,Aglianico del Taburno,"(None, None)"
697,Castel del Monte,"(41.08474385, 16.27094119405634)"
698,Colli di Faenza,"(None, None)"
699,Sangiovese di Romagna,"(44.0032924, 12.6202553)"
700,Vin de Liqueur,"(36.5730446, 4.3199981)"
701,Aegean,"(37.67171605, 25.527275812289748)"
702,Mâcon,"(46.3036683, 4.8322266)"
703,Fixin,"(47.2455008, 4.9728452)"
704,Marsannay,"(47.2798188, 5.0064179)"
705,Corton,"(52.5182376, 1.736353995889874)"
706,Latricières-Chambertin,"(47.207998950000004, 4.9638896947741795)"
707,Fronton,"(43.840295, 1.390285)"
708,Premieres Côtes de Blaye,"(None, None)"
709,Saint-Amour,"(46.4358751, 5.3421832)"
710,Simonsberg-Paarl,"(None, None)"
711,Juanico,"(11.0792407, 122.7777066)"
712,Black Sea Coastal,"(41.0017655, 39.77464439902312)"
713,Santa Catarina,"(-27.0628367, -51.114965)"
714,Vin de Pays des Côtes Catalanes,"(None, None)"
715,Malibu-Newton Canyon,"(None, None)"
716,Vino de la Tierra Contraviesa Alpujarra,"(None, None)"
717,Mount Harlan,"(36.6974604, -121.405214)"
718,Pla de Bages,"(41.7785429, 1.8904077)"
719,Overberg,"(52.0390484, 5.4964645)"
720,Sonoma-Napa-Mendocino,"(None, None)"
721,Atalanti Valley,"(38.6699808, 23.0664022)"
722,Dolcetto d'Acqui,"(None, None)"
723,San Francisco Bay,"(37.71402905, -122.30779415179862)"
724,Sebes,"(45.9591058, 23.5699265)"
725,Nagambie Lakes,"(None, None)"
726,Côte Chalonnaise,"(46.694577100000004, 4.685730590942857)"
727,Côtes de Bergerac,"(44.8616952, 0.5021461)"
728,Coste della Sesia,"(45.5415184, 8.3921811)"
729,Pacherenc du Vic Bilh,"(None, None)"
730,Moscatel de Setúbal,"(38.63117475, -8.913360268282311)"
731,Macedonia,"(41.6171214, 21.7168387)"
732,Chelan County,"(47.8012197, -120.6276904)"
733,Riverina,"(-37.80015145, 144.90723822186754)"
734,Ribatejo,"(53.5499616, 9.9304158)"
735,Saddle Rock-Malibu,"(None, None)"
736,Echézeaux,"(47.1668909, 4.9816856)"
738,Clos de la Roche,"(46.797194000000005, 4.746136356491887)"
739,Savigny-lès-Beaune,"(47.0628612, 4.8185532)"
740,Vougeot,"(47.1772352, 4.9643152)"
741,Wrattonbully,"(-37.1677831, 140.9458691)"
742,Saint-Aubin,"(50.4573687, 1.6651851)"
743,Moon Mountain District Sonoma County,"(None, None)"
744,Loazzolo,"(44.669043, 8.258442)"
745,Mâcon-Cruzille,"(46.506425, 4.7968947)"
746,Humboldt County,"(40.5997415, -123.8997734)"
747,Palmela,"(38.569601, -8.9011653)"
748,Galil,"(32.1842257, 34.8793519)"
749,Sforzato di Valtellina,"(None, None)"
750,Chile,"(-31.7613365, -71.3187697)"
751,Curtefranca,"(None, None)"
752,Kras,"(45.1079987, 14.5987483)"
753,Croatia,"(45.5643442, 17.0118954)"
754,Waipara,"(-43.058482, 172.7602403)"
755,Saumur-Champigny,"(47.2147205, -0.0215423)"
756,Awatere Valley,"(-37.670682, 178.3562011)"
757,Monteregio di Massa Marittima,"(43.052084699999995, 10.889615415770738)"
758,Napa-Sonoma-Marin,"(None, None)"
759,Muscat de Rivesaltes,"(None, None)"
760,Montecucco,"(43.4902269, 13.334434)"
761,Condrieu,"(45.4624294, 4.7676199)"
762,Côtes du Tarn,"(45.7979713, 1.1312646)"
763,Bergerac,"(44.8534568, 0.487531)"
764,Vin de Table Francais,"(None, None)"
765,Olifants River,"(-24.4763199, 30.4730535)"
766,Valle d'Aosta,"(45.730099, 7.387426)"
767,Santa Clara County,"(37.2333253, -121.6846349)"
768,Israel,"(31.5313113, 34.8667654)"
769,Chignin-Bergeron,"(None, None)"
770,Vin Santo del Chianti Rufina,"(None, None)"
771,Côtes du Roussillon Les Aspres,"(None, None)"
772,Côtes du Roussillon,"(48.4876921, -2.743691)"
773,Neusiedlersee,"(47.588634, 16.8774268)"
774,Côtes de Duras,"(48.574017, -2.1565356)"
775,Puget Sound,"(47.8331514, -122.4345806)"
776,Chambertin Clos de Bèze,"(47.21656625, 4.966075597192107)"
777,Corton-Rognet,"(47.07614985, 4.871465227171459)"
778,Corton Vergennes,"(None, None)"
779,Chapelle-Chambertin,"(47.2173114, 4.969348862899174)"
780,Montrachet,"(46.9455125, 4.7384962)"
781,Anjou Villages,"(47.51815895, 0.12858233212816428)"
782,Cadillac,"(44.6360817, -0.3173533)"
783,Pangeon,"(None, None)"
784,Marchigue,"(-34.400088, -71.6182815)"
785,Pago de Arínzano,"(None, None)"
786,Passito di Pantelleria,"(None, None)"
787,Costers del Segre,"(41.502298249999996, 0.8273990115524253)"
788,Beneventano,"(36.8100217, 14.8175347)"
789,Bourgogne Hautes Côtes de Beaune,"(None, None)"
790,Coteaux du Layon Chaume,"(None, None)"
791,McLaren Vale-Adelaide Hills,"(None, None)"
792,Colli Piacentini,"(None, None)"
793,Puente Alto,"(-33.6095279, -70.5754736)"
794,Alto Adige Terlano,"(46.5293011, 11.2486777)"
795,Saumur,"(47.2596224, -0.0785177)"
796,Australia,"(-24.7761086, 134.755)"
797,Snipes Mountain,"(46.3115194, -120.0894904)"
798,Long Island,"(40.85149705, -73.0994258107431)"
799,Lolol Valley,"(-34.727836, -71.6440839)"
800,Martina,"(-31.54050305, -63.53381287951656)"
801,Lacryma Christi del Vesuvio,"(None, None)"
802,Solano County Green Valley,"(38.265015, -122.16502487151726)"
803,Penisola Sorrentina,"(40.6379314, 14.4021601)"
804,California-Oregon,"(41.209752, -122.2716101)"
805,Colorado,"(38.7251776, -105.607716)"
806,Wairarapa,"(-41.23617985, 175.2196901910179)"
807,Groenekloof,"(-29.5505209, 30.291836)"
808,Guenoc Valley,"(38.715889, -122.487891)"
809,Terre del Volturno,"(44.7776211, 10.8843367)"
810,Utiel-Requena,"(39.4880777, -1.1001643)"
811,Montagny,"(46.032283, 4.2343363)"
812,Alenquer,"(39.056633, -9.0076057)"
813,Soave Colli Scaligeri,"(None, None)"
814,Goriska Brda,"(45.9997652, 13.5310028)"
815,Languedoc,"(18.3818342, -77.021327)"
816,Murfatlar,"(44.1742796, 28.4107956)"
817,Colline Novaresi,"(None, None)"
818,Napa County-Sonoma County-San Joaquin County,"(None, None)"
819,Southwest France,"(46.603354, 1.8883335)"
820,Washington-Oregon,"(45.5601883, -123.0587907)"
821,Bourgogne Gamay,"(46.8280995, 4.4353881)"
822,Terre di Franciacorta,"(45.59955195, 10.106685764146746)"
823,Serra Gaúcha,"(-29.1622292, -51.51225579078947)"
824,San Jose,"(37.3361905, -121.890583)"
825,Montevideo,"(-34.9058916, -56.1913095)"
826,Rosso di Toscana,"(43.0573443, 11.608908449999994)"
827,Côtes de Castillon,"(None, None)"
828,Adelaide,"(-34.9281805, 138.5999312)"
829,Lenswood,"(-34.920215, 138.8284007)"
830,Côte de Beaune,"(47.0239064, 4.8380426)"
831,Ica,"(-14.338611, -75.648333)"
832,Lake Chelan,"(48.07858615, -120.4757138372714)"
833,Valpolicella Ripasso Classico,"(None, None)"
834,Solano County,"(38.2218938, -121.9163555)"
835,Steiermark,"(47.2500001, 15.1666665)"
836,Chianti Colli Fiorentini,"(None, None)"
837,Lutzville Valley,"(-31.5591667, 18.3438889)"
838,Valpolicella,"(45.5296706, 10.9400217)"
839,Duriense,"(41.116558, -7.567837501603277)"
840,Swan Creek,"(43.3797483, -84.0910893)"
841,Tierra de León,"(39.1640686, -6.7093281)"
842,Apalta,"(-34.3392193, -70.868125)"
843,Mudgee,"(-32.5980702, 149.5886383)"
844,New South Wales,"(-31.8759835, 147.2869493)"
845,Rosso Piceno Superiore,"(42.9487211, 13.707778)"
846,Offida Passerina,"(None, None)"
847,Vin de Pays du Lot,"(None, None)"
848,Malleco,"(-37.7960595, -72.6516866)"
849,Venezie,"(37.9842106, 23.6318505)"
850,Riviera Ligure di Ponente,"(44.4270691, 8.7868476)"
851,Tulum Valley,"(20.2152358, -87.42953531439221)"
852,Pompeiano,"(39.9048734, 18.2049012)"
853,Epomeo,"(53.37043055, -6.352287197557297)"
854,Roccamonfina,"(41.2884039, 13.9828383)"
855,Valdobbiadene Superiore di Cartizze,"(None, None)"
856,Marcillac,"(45.27374695, -0.49955961805011406)"
857,Tierra de Castilla,"(41.9533522, -3.4780483)"
858,Galluccio,"(41.352318, 13.953717)"
859,Bourgogne Epineuil,"(47.8742306, 3.9810488)"
860,Colli di Salerno,"(40.2837271, 15.5381541)"
861,Viile Timisului,"(None, None)"
862,Guerrouane,"(None, None)"
863,Valais,"(46.2303063, 7.6605757)"
864,Tuolumne County,"(38.056944, -119.9919351)"
865,Côtes-du-Ventoux,"(None, None)"
866,Getariako Txakolina,"(None, None)"
867,Choapa Valley,"(-31.7280122, -71.2080683)"
868,Jurançon Sec,"(43.2871825, -0.3896425)"
869,Tarantino,"(46.1179217, 32.290340634171294)"
870,Saint-Mont,"(43.6519486, -0.1506191)"
871,Crémant de Bordeaux,"(None, None)"
872,Dolcetto di Monferrato,"(None, None)"
873,Vale dos Vinhedos,"(-29.18283055, -51.58325572363318)"
874,Malibu Coast,"(-27.98161235, 153.42491378034572)"
875,Rully,"(49.2359777, 2.7280667)"
876,Monti Lessini,"(45.6550714, 11.00613726178793)"
877,Lambrusco di Sorbara,"(44.7503081, 11.0078558)"
878,Asti,"(44.826012649999996, 8.202686328987273)"
879,Lambrusco Grasparossa di Castelvetro,"(None, None)"
880,Carmignano,"(43.8140654, 11.0190297)"
881,Val de Loire,"(45.4399177, 4.3878221)"
882,Mittelrhein,"(50.1249063, 7.620378374028331)"
883,Bullas,"(46.2093747, 5.1333778)"
884,Clear Lake,"(43.1380915, -93.3792003)"
885,Durbanville,"(-33.8402778, 18.6494444)"
886,Bonnes-Mares,"(47.191928700000005, 4.957281488973952)"
887,Mâcon-Lugny,"(46.4720992, 4.8113081)"
888,Eisenberg,"(50.9691346, 11.8961116)"
889,Rasteau,"(44.2298319, 4.9856444)"
890,Côtes de Provence Sainte-Victoire,"(None, None)"
891,Cilento,"(-34.4294399, -58.7281723)"
892,Coteaux Varois en Provence,"(None, None)"
893,Outer Coastal Plain,"(-24.8769351, 113.7042061)"
894,Shenandoah Valley,"(39.6725241, -75.5911629)"
895,Yadkin Valley,"(36.0223527, -81.4900963)"
896,Costa d'Amalfi,"(48.8592347, 2.3235251)"
897,Mostar,"(43.3424943, 17.8075104)"
898,Iowa,"(41.9216734, -93.3122705)"
899,Premieres Côtes de Bordeaux,"(None, None)"
900,Chianti Montalbano,"(None, None)"
901,Mornington Peninsula,"(-38.243314999999996, 145.08854316331724)"
902,Bourgogne Aligoté,"(46.9243306, 4.7406162)"
903,Auxey-Duresses,"(46.9862244, 4.7467921)"
904,Orvieto Classico Superiore,"(None, None)"
905,Saint-Romain,"(46.9982395, 4.7083847)"
906,Lugana Superiore,"(45.4412866, 10.6754622)"
907,Cesanese del Piglio,"(None, None)"
908,Banyuls,"(42.4794084, 3.1275893)"
909,Friuli Venezia Giulia,"(46.151042, 13.055904)"
910,Patras,"(38.246242, 21.7350847)"
911,Monterey-Santa Barbara,"(36.44019875, -121.31841319547219)"
912,Franken,"(47.6026172, 7.3543563)"
913,Sonoma County-Monterey County-Napa County,"(None, None)"
914,Rosé d'Anjou,"(43.3566514, 5.3663827)"
915,Rubicone,"(44.0660923, 12.3609442)"
916,Vittoria Frappato,"(36.9809772, 14.5505655)"
917,Mâcon La Roche Vineuse,"(46.3472473, 4.7201986)"
918,Muscat de Beaumes de Venise,"(None, None)"
919,Korinthia,"(37.96299085, 22.733342367236247)"
920,Colli di Luni,"(None, None)"
921,Soave Classico Superiore,"(None, None)"
922,San Clemente,"(39.4037093, -2.4274052)"
923,Corton Grèves,"(47.0695258, 4.863914978685614)"
924,Entre-Deux-Mers,"(48.3963835, -68.6754271)"
925,Barbera del Monferrato,"(None, None)"
926,Copertino,"(40.2716808, 18.0502517)"
927,Alta Mesa,"(28.01342, -81.677799)"
928,Vacqueyras,"(44.1382621, 4.9823958)"
929,Coteaux de Verdon,"(None, None)"
930,Podunavlje,"(46.879729749999996, 17.536136225160522)"
931,Saint-Chinian,"(43.4215, 2.94677)"
932,Lake Erie,"(42.1432445, -81.2396642041535)"
933,Lirac,"(44.0372, 4.69136)"
934,Mokelumne River,"(38.3077953, -120.7314866)"
935,Valpolicella Valpantena Superiore,"(None, None)"
936,Florina,"(40.779442, 21.407594)"
937,Buin,"(-33.7319741, -70.7419619)"
938,Francs Côtes de Bordeaux,"(None, None)"
939,Manchuela,"(39.2939397, -2.5269091)"
940,Biferno Rosso,"(None, None)"
941,Régnié,"(46.1384747, 4.6420871)"
942,Sonoma County-Lake County,"(38.5110803, -122.8473388)"
943,Italy,"(42.6384261, 12.674297)"
944,Languedoc-Roussillon,"(43.65420305, 3.674669940206605)"
945,France,"(46.603354, 1.8883335)"
946,Colli Perugini,"(None, None)"
947,Aleatico dell'Elba,"(None, None)"
948,Bío Bío Valley,"(-37.3391407, -72.4106825)"
949,Touraine,"(39.94694925, -75.16765833469637)"
950,Corbières-Boutenac,"(43.1486332, 2.7942614)"
951,Haut-Judeé,"(48.4687884, -4.1912612)"
952,Ohio,"(40.2253569, -82.6881395)"
953,Vin de Pays du Val de Cesse,"(None, None)"
954,Saussignac,"(44.8014957, 0.3264929)"
955,Limoux,"(43.0538068, 2.2176533)"
956,Terras do Sado,"(None, None)"
957,Madrid,"(40.4167047, -3.7035825)"
958,San Luis Obispo,"(35.3540209, -120.3757163)"
959,Vino de Mesa,"(41.3947113, -5.2100523)"
960,Maipo Valley-Colchagua Valley,"(-33.5831765, -70.7101591)"
961,Vittoria,"(36.9514957, 14.5304867)"
962,Noto,"(36.8908864, 15.0706454)"
963,Campi Flegrei,"(40.8274575, 14.1402297)"
964,Bendigo,"(-36.7588767, 144.2825931)"
965,Friuli Isonzo,"(41.4627807, 12.904768)"
966,Vin de Pays de L'Aude,"(None, None)"
967,Terre di Chieti,"(None, None)"
968,Romagna,"(44.13497265, 11.847319102240142)"
969,Breedekloof,"(None, None)"
970,Vin de Pays du Gard,"(None, None)"
971,Colline Teatine,"(None, None)"
972,Cederberg,"(-32.5005556, 19.2569444)"
973,Montilla-Moriles,"(36.7289133, -4.2997395)"
974,Pomino,"(45.7631842, 9.4718307)"
975,Côte Rôtie,"(46.1932418, 3.2967983)"
976,Vermont,"(44.5990718, -72.5002608)"
977,Garda Classico,"(None, None)"
978,Montenetto di Brescia,"(45.4569775, 10.146262499189595)"
979,Lombardy,"(45.5703694, 9.7732524)"
980,Benaco Bresciano,"(45.5845449, 10.5209434)"
981,Musigny,"(47.163835, 4.5172082)"
982,Chambertin,"(47.3671774, 4.9989912)"
983,Clos Saint-Denis,"(47.1671118, 4.9531946)"
984,Côtes du Lot,"(48.3714501, -3.5414592)"
985,Heathcote,"(40.393854000000005, -74.5717242965823)"
986,Malvasia delle Lipari,"(None, None)"
987,Switzerland,"(46.7985624, 8.2319736)"
988,Waitaki Valley,"(-44.8078509, 170.5677483)"
989,Golan Heights,"(33.2120673, 35.7877991)"
990,Côtes du Frontonnais,"(None, None)"
991,Mittelburgenland,"(47.504515999999995, 16.49443025998506)"
992,Fruška Gora,"(45.1515915, 19.7114729)"
993,Philadelphia,"(39.9527237, -75.1635262)"
994,Marsala,"(37.7979221, 12.4342091)"
995,Muzla,"(47.7922978, 18.5998896)"
996,Marca Trevigiana,"(45.79616915, 11.912388868014252)"
997,Colli di Conegliano,"(45.8870343, 12.2906527)"
998,Chianti Colli Aretini,"(None, None)"
999,Napa County-Sonoma County,"(None, None)"
1000,Monterrei,"(25.6802019, -100.3152586)"
1001,Mendocino-Lake,"(39.3176491, -123.4126399)"
1002,Dogliani,"(44.5307822, 7.9472329)"
1003,Mátra,"(47.8857587, 19.950719085708563)"
1004,Kakheti,"(41.737352, 45.6721781)"
1005,Saint-Nicolas-de-Bourgueil,"(47.2843794, 0.1256895)"
1006,Bramaterra,"(45.6312734, 8.3012197)"
1007,Monterey-Santa Cruz,"(11.1592164, 124.9906706)"
1008,Teroldego Rotaliano,"(None, None)"
1009,North Carolina,"(35.6729639, -79.0392919)"
1010,Cortese di Gavi,"(44.6877462, 8.8036712)"
1011,York Mountain,"(33.7803818, -86.9930542)"
1012,Touraine Amboise,"(47.3930742, 1.0040989)"
1013,Texas High Plains,"(29.6642381, -98.1444271)"
1014,Petit Chablis,"(47.8133804, 3.7692048)"
1015,Ben Lomond Mountain,"(37.1309414, -122.1682351)"
1016,Wiener Gemischter Satz,"(None, None)"
1017,Colli Bolognesi,"(43.0690597, 13.1492771)"
1018,Lambrusco Reggiano,"(None, None)"
1019,Emilia-Romagna,"(44.525696, 11.039437)"
1020,Château-Chalon,"(46.7547194, 5.6269716)"
1021,Mâcon-Mancey,"(46.5848134, 4.902899157381777)"
1022,Irancy,"(47.7132623, 3.6653566)"
1023,Pitsilia Mountains,"(None, None)"
1024,Cigales,"(41.7582863, -4.6989785)"
1025,Assisi,"(43.0711952, 12.6146669)"
1026,Attica,"(37.9946543, 23.79940251269328)"
1027,Savennières-Roche-Aux-Moines,"(47.3891071, -0.6408817)"
1028,Jujuy,"(-23.3161458, -65.7595288)"
1029,Montescudaio,"(43.3262785, 10.6269946)"
1030,Galatina,"(40.1742781, 18.1678388)"
1031,Cirò,"(39.381732, 17.0613529)"
1032,Vin de Pays des Portes de Méditerranée,"(None, None)"
1033,Alcamo,"(37.9766497, 12.9626735)"
1034,Soave Superiore,"(None, None)"
1035,Hungary,"(47.1817585, 19.5060937)"
1036,Vermentino di Gallura,"(None, None)"
1037,Elazığ-Diyarbakir,"(38.5200834, 39.5148588)"
1038,Brulhois,"(44.014808900000006, 0.9527693215746614)"
1039,Jonkershoek Valley,"(-33.9356929, 18.8744567)"
1040,Tikves,"(43.36755, 20.2342334)"
1041,Uruguay,"(-32.8755548, -56.0201525)"
1042,Limestone Coast,"(-32.6683333, 152.1383333)"
1043,Chianti Superiore,"(None, None)"
1044,Rosazzo,"(45.413839, 13.531618)"
1045,Progreso,"(14.852206, -90.0648909)"
1046,Verdicchio di Matelica,"(43.2185295, 12.9872027)"
1047,Columbia Valley-Walla Walla Valley,"(None, None)"
1048,Gutturnio Colli Piacentini,"(None, None)"
1049,Waiheke Island,"(-36.7930971, 175.08840102296546)"
1050,Ardèche,"(44.815194000000005, 4.3986524702343965)"
1051,Napa-Mendocino-Sonoma-Marin,"(None, None)"
1052,Great Southern,"(53.1841324, -6.8036507)"
1053,Ankara,"(39.9207486, 32.8540093)"
1054,Molina,"(-35.1139703, -71.2799798)"
1055,Serra do Sudeste,"(-20.1252961, -40.3064477)"
1056,Barbera del Monferrato Superiore,"(None, None)"
1057,Leyda Valley-Maipo Valley,"(None, None)"
1058,Rutherglen,"(55.8283888, -4.2116533)"
1059,Mâcon-Charnay,"(46.4708097, 4.5559279)"
1060,Dalmatian Coast,"(None, None)"
1061,Eilandia,"(None, None)"
1062,Ancient Lakes,"(42.7630762, -114.9224679)"
1063,Mount Barker,"(-35.0641302, 138.8586385)"
1064,Dealurile Munteniei,"(None, None)"
1065,Rivesaltes,"(42.7683568, 2.8709277)"
1066,Cérons,"(44.6316828, -0.3349069)"
1067,Coteaux du Layon Saint Aubin,"(None, None)"
1068,Sonoma,"(38.5110803, -122.8473388)"
1069,Rhône Valley,"(45.8802348, 4.564533629559522)"
1070,Mâcon-Loché,"(46.2781354, 4.7676044)"
1071,Thraki,"(53.5626634, 9.9288551)"
1072,Orvieto,"(42.7186152, 12.1087907)"
